Country,Year,Indicator,Value,Unit
Belgium,1929,Arable land,2 709 315,Acres
Belgium,1929,Permanent grass and pasture,1 705 841,Acres
Belgium,1929,Fruit trees and orchards,33 146,Acres
Belgium,1929,Small cultivated fruits nurseries asters flowers,23 758,Acres
Belgium,1929,Private gardens and parks over 50 acres,4 144,Acres
Belgium,1929,Other crops,235 169,Acres
Belgium,1950,Cropland,1 065 072,hectares
Belgium,1950,Arable land,1 000 498,hectares
Belgium,1950,"Land for growing trees, vines and shrubs",64 574,hectares
Belgium,1950,Permanent meadow and pasture,760 480,hectares
Belgium,1950,Wood or forest land,35 168,hectares
Belgium,1950,All other land,42 592,hectares
Belgium,1950,Total agricultural land,1 903 312,hectares
Belgium,1959,Land Utilization - Cropland,913 804,hectares
Belgium,1959,Land Utilization - Permanent meadows and pastures,747 027,hectares
Belgium,1959,Land Utilization - Wood or forest land,29 761,hectares
Belgium,1959,Land Utilization - All other land Number of holdings reporting,76 855,hectares
