Country,Year,Indicator,Value,Unit
Belgium,1929,Cullator or rock phosphates,18 160,(assumed tonnes)
Belgium,1929,Fungicated phosphates,2 110,(assumed tonnes)
Belgium,1929,Sugarcane sprays,1 410,(assumed tonnes)
Belgium,1929,Basic zinc,412 469,(assumed tonnes)
Belgium,1929,Fungicated rock phosphates,42 191,(assumed tonnes)
Belgium,1929,Basic mud and animal block,1 610,(assumed tonnes)
Belgium,1929,Propylene glycols,92 820,(assumed tonnes)
Belgium,1929,Propylene sulphurs,18 523,(assumed tonnes)
Belgium,1929,"Keros, xyloses, bartesis, carnaids",317 930,(assumed tonnes)
Belgium,1950,Green manure (hectares),12 259,hectares
Belgium,1959,Fertilizer distributors,39 100,Number
