Country,Year,Indicator,Value,Unit
Belgium,1929,Cullator or rock phosphates,18 160,-
Belgium,1929,Fungicated phosphates,2 110,-
Belgium,1929,Sugarcane sprays,1 410,-
Belgium,1929,Basic zinc,412 469,-
Belgium,1929,Fungicated rock phosphates,42 191,-
Belgium,1929,Basic mud and animal block,1 610,-
Belgium,1929,Total Packaging Fertilizers,1 629 644,-
Belgium,1929,Propylene glycols,92 820,Number
Belgium,1929,Propylene sulphurs,18 523,Number
Belgium,1950,Green manure (hectares),12 259,hectares
Belgium,1959,Organic fertilizers - Number of holdings reporting,249 029,Number
Belgium,1959,Mixed fertilizers - Number of holdings reporting,798,Number
Belgium,1959,Nitrogenous fertilizers - Number of holdings reporting,402 078,Number
Belgium,1959,Nitrogenous fertilizers - Amount applied,522 966,Metric tons
Belgium,1959,Potash fertilizers - Number of holdings reporting,345 792,Number
Belgium,1959,Potash fertilizers - Amount applied,269 748,Metric tons
