Country,Year,Indicator,Value,Unit
Brunei,1950,Total area,576 500,Hectares
Brunei,1950,Cropland,37 900,Hectares
Brunei,1950,Arable land,18 100,Hectares
Brunei,1950,"Land for growing trees, vines and shrubs",19 800,Hectares
Brunei,1950,Permanent meadow and pasture,1 400,Hectares
Brunei,1950,Wood or forest land,537 200,hectares
Brunei,1964,Land under temporary crops,3 864,Hectares
Brunei,1964,Land under permanent crops,13 881,Hectares
Brunei,1964,Permanent meadows and pastures,41,Hectares
Brunei,1964,Wood or forest land,5 224,Hectares
Brunei,1964,All other land,9 377,Hectares
