Country,Year,Indicator,Value,Unit
Canada,1931,Holdings operated under one form of tenure - Owned by the holder or in ownerlike possession,33 641,Number of farms
Canada,1931,Holdings operated under one form of tenure - Owned by the holder or in ownerlike possession,8 061 834,Acres
Canada,1931,Holdings operated under one form of tenure - Part owners and share tenants,34 301,Number of farms
Canada,1931,Holdings operated under one form of tenure - Part owners and share tenants,9 467 194,Acres
Canada,1931,Total holdings operated under one form of tenure,47 942,Number of farms
Canada,1931,Total holdings operated under one form of tenure,36 020 532,Acres
Canada,1931,Holdings operated under more than one form of tenure - Holdings partly owned and partly rented,100 383,Number of farms
Canada,1931,Holdings operated under more than one form of tenure - Holdings partly owned and partly rented,29 328 639,Acres
Canada,1931,Holdings operated by managers,2 396,Number of farms
Canada,1931,Holdings operated by managers,3 080 854,Acres
Canada,1950-51,Holdings operated under one tenure form - Owned by the holder,481 447,Number of farms
Canada,1950-51,Holdings operated under one tenure form - Owned by the holder,37 995 541,Hectares
Canada,1950-51,Holdings operated under one tenure form - Rented from others,44 983,Number of farms
Canada,1950-51,Holdings operated under one tenure form - Rented from others,6 342 269,Hectares
Canada,1950-51,Holdings operated under mixed forms of tenure,89 226,Number of farms
Canada,1950-51,Holdings operated under mixed forms of tenure,23 917 906,Hectares
Canada,1950-51,Holdings operated by managers,7 435,Number of farms
Canada,1950-51,Holdings operated by managers,2 177 484,Hectares
Canada,1961,Holdings operated under one form of tenure - Owned by the holder or in ownerlike possession,350 428,Number of farms
Canada,1961,Holdings operated under one form of tenure - Owned by the holder or in ownerlike possession,33 167 946,Hectares
Canada,1961,Holdings operated under one form of tenure - Rented from others,27 696,Number of farms
Canada,1961,Holdings operated under one form of tenure - Rented from others,4 250 521,H
