Country,Year,Indicator,Value,Unit
Canada,1931,Total area in occupied farms,193 114 034,acres
Canada,1931,Total area in vacated and abandoned farms,5 205 166,acres
Canada,1931,Field crops,57 925 483,acres
Canada,1931,Pastures,8 011 716,acres
Canada,1931,Fallow,17 027 278,acres
Canada,1931,Vegetables and market gardens,104 458,acres
Canada,1931,Orchards,268 925,acres
Canada,1931,Vineyards,16 159,acres
Canada,1931,Small fruits,18 822,acres
Canada,1931,"Other areas, including buildings",2 379 331,acres
Canada,1931,Total improved area,85 732 172,acres
Canada,1931,Woodland,26 645 201,acres
Canada,1931,Prolries and natural pastures,42 574 997,acres
Canada,1931,March and waste land,8 161 584,acres
Canada,1931,Total unimproved area,77 381 862,acres
Canada,1931,Total land in occupied farms,163 114 034,acres
Canada,1931,Total land in vacant and abandoned farms,5 289 166,acres
Canada,1931,Total land not in farms,1 112 504 768,acres
Canada,1931,Total area,1 381 307 948,acres
Canada,1950-51,Cropland,38 140 821,hectares
Canada,1950-51,Arable land,38 048 600,hectares
Canada,1950-51,"Land for growing trees, vines and shrubs",92 221,hectares
Canada,1950-51,Permanent meadow and pasture,22 020 211,hectares
Canada,1950-51,Wood or forest land,9 218 588,hectares
Canada,1950-51,All other land,1 053 580,hectares
Canada,1959,Cropland,36 695 945,hectares
Canada,1959,Cultivated pasture,4 147 199,hectares
Canada,1959,Cultivated pasture,264 197,number of holdings reporting 
Canada,1959,Wood or forest land,6 979 673,hectares
Canada,1959,Wood or forest land,251 639,number of holdings reporting 
Canada,1959,All other land,22 005 222,hectares
