Country,Year,Indicator,Value,Unit
Denmark,1929,Number of nurseries under 0.35 ha,267,Holdings
Denmark,1929,Area of nurseries under 0.35 ha,179,Acres
Denmark,1929,Number of nurseries 0.35-1.7 ha,131,Holdings
Denmark,1929,Area of nurseries 0.35-1.7 ha,292,Acres
Denmark,1929,Number of nurseries 1.7-5 ha,67,Holdings
Denmark,1929,Area of nurseries 1.7-5 ha,445,Acres
Denmark,1929,Number of nurseries 5-10 ha,23,Holdings
Denmark,1929,Area of nurseries 5-10 ha,395,Acres
Denmark,1929,Number of nurseries 10-15 ha,11,Holdings
Denmark,1929,Area of nurseries 10-15 ha,291,Acres
Denmark,1929,Number of nurseries over 15 ha,9,Holdings
Denmark,1929,Area of nurseries over 15 ha,746,Acres
Denmark,1929,Total number of nurseries,500,Holdings
Denmark,1929,Total area of nurseries,2 208,Acres
Denmark,1949-50,Number of Holdings,206 635,Number
Denmark,1949-50,Total Area of Holdings,3 597 922,Hectares
Denmark,1959-60,Number and area of holdings - Number,196 506,Number
Denmark,1959-60,Number and area of holdings - Area,3 108 267,Hectares
