Country,Year,Indicator,Value,Unit
Dominican Republic,1949-50,Land Utilization - Arable land,1 461 232,hectares
Dominican Republic,1949-50,Land Utilization - Land under permanent crops,358 638,hectares
Dominican Republic,1949-50,Land Utilization - Permanent meadows and pastures,270 532,hectares
Dominican Republic,1949-50,Land Utilization - Wood or forest land,438 994,hectares
Dominican Republic,1949-50,Land Utilization - All other land,157 471,hectares
Dominican Republic,1962-63,Land Utilization - Arable land,808 251,hectares
Dominican Republic,1962-63,Land Utilization - Land under permanent crops,259 145,hectares
Dominican Republic,1962-63,Land Utilization - Permanent meadows and pastures,866 855,hectares
Dominican Republic,1962-63,Land Utilization - Wood or forest land,286 450,hectares
Dominican Republic,1962-63,Land Utilization - All other land,37 247,hectares
