Country,Year,Indicator,Value,Unit
Egypt,1929-30,Number of holdings of less than 1 hidden,234 607,-
Egypt,1929-30,Total area of holdings of less than 1 hidden,36.20,%
Egypt,1929-30,Number of holdings of less than 2 hidden,163 389,-
Egypt,1929-30,Total area of holdings of less than 2 hidden,23.20,%
Egypt,1929-30,Number of holdings of 2 hidden,75 500,-
Egypt,1929-30,Total area of holdings of 2 hidden,11.20,%
Egypt,1929-30,Number of holdings of 3 hidden,44 799,-
Egypt,1929-30,Total area of holdings of 3 hidden,6.50,%
Egypt,1929-30,Number of holdings of 4 hidden,25 401,-
Egypt,1929-30,Total area of holdings of 4 hidden,4.40,%
Egypt,1929-30,Total number of holdings of less than 5 hidden,596 577,-
Egypt,1929-30,Total area of holdings of less than 5 hidden,82,%
Egypt,1929-30,Number of holdings of 5 and less than 10 hidden,10 977,-
Egypt,1929-30,Total area of holdings of 5 and less than 10 hidden,9.30,%
Egypt,1929-30,Number of holdings of 10 hidden,20 073,-
Egypt,1929-30,Total area of holdings of 10 hidden,4.30,%
Egypt,1929-30,Number of holdings of 20 hidden,14 195,-
Egypt,1929-30,Total area of holdings of 20 hidden,2.20,%
Egypt,1929-30,Total number of holdings of 5 to less than 50 hidden,191 267,-
Egypt,1929-30,Total area of holdings of 5 to less than 50 hidden,15.60,%
Egypt,1929-30,Number of holdings of 50 and less than 100 hidden,4 754,-
