Country,Year,Indicator,Value,Unit
Estonia,1930,Arable land - Area,2902371,acres
Estonia,1930,Gardens - Area,26176,acres
Estonia,1930,Meadows - Area,2249722,acres
Estonia,1930,Pastures - Area,1364202,acres
Estonia,1930,Total agricultural land - Area,6553011,acres
Estonia,1930,Forest - Area,393612,acres
Estonia,1930,Land built-on and paths - Area,163544,acres
Estonia,1930,Marsh and swamp - Area,373600,acres
Estonia,1930,Other land - Area,157165,acres
Estonia,1930,General total - Area,7644932,acres
