Country,Year,Indicator,Value,Unit
Finland,1929,Arable land,5 588 138,acres
Finland,1929,Permanent meadows and pastures,2 113 157,acres
Finland,1929,Cultivated cleared (burned) land,4 971,acres
Finland,1929,Total agricultural land,7 685 026,acres
Finland,1929,Woods and forests,25 080 033,acres
Finland,1950,Cropland,2 444 738,hectares
Finland,1950,Arable land,2 423 377,hectares
Finland,1950,"Land for growing trees, vines, and shrubs",2 611 490,hectares
Finland,1950,Permanent meadow and pasture,11 879,hectares
Finland,1950,Wood or forest land,304 754,hectares
Finland,1950,Grazed,10 794 497,hectares
Finland,1950,Not grazed,2 061 319,hectares
Finland,1950,All other land,2 011 729,hectares
Finland,1959-60,Cropland,2 596 733,ha
Finland,1959-60,Arable land,2 585 222,ha
Finland,1959-60,Land under permanent crops,11 511,ha
Finland,1959-60,Permanent meadows and pastures,327 813,ha
Finland,1959-60,Wood or forest land,10 756 776,ha
Finland,1959-60,All other land,2 278 299,ha
