Country,Year,Indicator,Value,Unit
Germany,1933,Holdings under 5 acres - Number,2 867 489,Holdings
Germany,1933,Holdings under 5 acres - Area,134 907,acres
Germany,1933,Holdings 5 acres and under 10 acres - Number,1 021 356,Holdings
Germany,1933,Holdings 5 acres and under 10 acres - Area,170 567,acres
Germany,1933,Holdings 10 acres and under 25 acres - Number,957 055,Holdings
Germany,1933,Holdings 10 acres and under 25 acres - Area,552 807,acres
Germany,1933,Holdings 25 acres and under 50 acres - Number,812 643,Holdings
Germany,1933,Holdings 25 acres and under 50 acres - Area,717 142,acres
Germany,1933,Total smallholdings up to 50 acres - Number,5 578 463,Holdings
Germany,1933,Total smallholdings up to 50 acres - Area,1 575 423,acres
Germany,1933,Holdings 0.51 ha and under 1 ha - Number,366 839,Holdings
Germany,1933,Holdings 0.51 ha and under 1 ha - Area,664 894,acres
Germany,1933,Holdings 1 ha and under 2 ha - Number,486 739,Holdings
Germany,1933,Holdings 1 ha and under 2 ha - Area,1 653 661,acres
Germany,1933,Holdings 2 ha and under 5 ha - Number,629 952,Holdings
Germany,1933,Holdings 2 ha and under 5 ha - Area,4 018 783,acres
Germany,1933,Holdings 5 ha and under 10 ha - Number,461 956,Holdings
Germany,1933,Holdings 5 ha and under 10 ha - Area,5 531 748,acres
Germany,1933,Holdings 10 ha and under 20 ha - Number,267 310,Holdings
Germany,1933,Holdings 10 ha and under 20 ha - Area,6 095 366,acres
Germany,1933,Holdings 20 ha and under 50 ha - Number,145 572,Holdings
Germany,1933,Holdings 20 ha and under 50 ha - Area,8 595 334,acres
Germany,1933,Holdings 50 ha and under 100 ha - Number,10 623,Holdings
Germany,1933,Holdings 50 ha and under 100 ha - Area,8 189 823,acres
Germany,1933,Holdings 100 ha and under 200 ha - Number,3 919,Holdings
Germany,1933,Holdings 100 ha and under 200 ha - Area,4 662 502,acres
Germany,1933,Holdings 200 ha and under 500 ha - Number,1 807,Holdings
Germany,1933,Holdings 200 ha and under 500 ha - Area,4 184 076,acres
Germany,1933,Holdings 500 ha and more - Number,1 877,Holdings
Germany,1933,Holdings 500 ha and more - Area,18 476 096,acres
Germany,1933,Total holdings of 0.51 ha and over - Number,2 075 577,Holdings
Germany,1933,Total holdings of 0.51 ha and over - Area,104 690 690,acres
Germany,1960,"Number of holdings, All sizes",1 761 114,Holdings
Germany,1960,"Total area, All sizes",21 369 649,ha
Germany,1960,"Number of holdings, Holdings without agricultural land",52 030,Holdings
Germany,1960,"Total area, Holdings without agricultural land",3 345 800,ha
Germany,1960,"Number of holdings, 0.01 and under 2 ha",550 743,Holdings
Germany,1960,"Total area, 0.01 and under 2 ha",1 203 700,ha
Germany,1960,"Number of holdings, 2 and under 5 ha",308 749,Holdings
Germany,1960,"Total area, 2 and under 5 ha",1 796 500,ha
