Country,Year,Indicator,Value,Unit
Germany,1949-50,Land Utilization - Cropland,7 964 750,hectares
Germany,1949-50,Land Utilization - Arable land,7 663 602,hectares
Germany,1949-50,Land Utilization - Land for growing vines,58 237,hectares
Germany,1949-50,"Land Utilization - Gardens, orchards, tree nurseries and osiers",242 911,hectares
Germany,1949-50,Land Utilization - Permanent meadows and pastures,5 493 513,hectares
Germany,1949-50,Land Utilization - Wood or forest land,6 854 220,hectares
Germany,1949-50,Land Utilization - All other land,1 666 542,hectares
Germany,1949-50,Area (total),21 979 025,hectares
Germany,1960,Arable land,7 708 143,Hectares
Germany,1960,Land under permanent crops,135 137,Hectares
Germany,1960,Permanent meadows and pastures,5 324 368,Hectares
Germany,1960,Wood or forest land,7 014 345,Hectares
Germany,1960,All other land,1 187 656,Hectares
Germany,1960,Total agricultural land,13 183 195,Hectares
