Country,Year,Indicator,Value,Unit
Germany,1949-50,Number of holdings reporting reapers or reapers and binders (self-propelled),16 748,Holdings
Germany,1949-50,Number of holdings reporting reapers or reapers and binders (drawn with built-in motors),10 241,Holdings
Germany,1949-50,Number of holdings reporting reapers or reapers and binders (drawn without built-in motors),156 362,Holdings
Germany,1949-50,Total number of reapers or reapers and binders (self-propelled),18 131,Machines
Germany,1949-50,Total number of reapers or reapers and binders (drawn with built-in motors),10 287,Machines
Germany,1949-50,Total number of reapers or reapers and binders (drawn without built-in motors),157 995,Machines
Germany,1949-50,"Number of holdings reporting borrowed, rented, etc., reapers or reapers and binders (self-propelled)",12 293,Holdings
Germany,1949-50,"Number of holdings reporting borrowed, rented, etc., reapers or reapers and binders (drawn)",44 355,
Germany,1960,Reaper-binders (animal-operated) - Number of holdings reporting,149 014,Holdings
Germany,1960,Reaper-binders (animal-operated) - Number of reaper-binders,149 532,Reaper-binders
Germany,1960,Reaper-binders (tractor-operated) - Owned solely by the holder - Number of holdings reporting,141 969,Holdings
Germany,1960,Reaper-binders (tractor-operated) - Owned solely by the holder - Number of reaper-binders,141 969,Reaper-binders
Germany,1960,Reaper-binders (tractor-operated) - Owned jointly by the holder and others - Number of holdings reporting,75 283,Holdings
Germany,1960,Reaper-binders (tractor-operated) - Owned jointly by the holder and others - Number of reaper-binders,75 283,Reaper-binders
Germany,1960,Reaper-binders (tractor-operated) - Hired or provided by cooperatives - Number of holdings reporting,54 075,Holdings
Germany,1960,Reaper-binders (tractor-operated) - Hired or provided by cooperatives - Number of reaper-binders,54 075,Reaper-binders
Germany,1960,Reaper-binders (tractor-operated) - Borrowed - Number of holdings reporting,46 771,Holdings
Germany,1960,Reaper-binders (tractor-operated) - Borrowed - Number of reaper-binders,46 771,Reaper-binders
