Country,Year,Indicator,Value,Unit
Iraq,1958,Land Utilization - Arable land,7 273 143,Hectares
Iraq,1958,Land under permanent crops,187 483,Hectares
Iraq,1958,Permanent meadows and pastures,71 202,Hectares
Iraq,1958,Wood or forest land,4 574,Hectares
Iraq,1958,All other land,502 301,Hectares
Iraq,1952,Cropland, 5 450 173,Hectares
Iraq,1952,Land Utilization - Arable land,5 322 003,Hectares
Iraq,1953,Land under permanent crops,128 170,Hectares
Iraq,1952,Permanent meadows and pastures,230 880,Hectares
Iraq,1952,Wood or forest land,51 811,Hectares
Iraq,1952,All other land,644 309,Hectares
