Country,Year,Indicator,Value,Unit
Japan,1929,Holdings under 0.50 hectares,1,938,155,number
Japan,1929,Holdings 0.50–0.99 hectares,1,099,842,number
Japan,1929,Holdings 0.99–1.98 hectares,1,220,132,number
Japan,1929,Holdings 1.98–2.98 hectares,318,037,number
Japan,1929,Holdings 2.98–4.96 hectares,130,169,number
Japan,1929,Holdings 4.96 hectares and above,69,248,number
Japan,1949,Number of Holdings - All sizes of holdings,16 176 419,Holdings
Japan,1949,Area - All sizes of holdings,10 128 832,hectares
Japan,1949,Number of Holdings - Under 0.99 hectare,14 145 874,Holdings
Japan,1949,Area - Under 0.99 hectare,3 612 357,hectares
Japan,1949,Number of Holdings - 0.99 hectare and over,2 030 545,Holdings
Japan,1949,Area - 0.99 hectare and over,6 516 475,hectares
Japan,1949,Number of Holdings - 0.99 and under 4.96 hectares,1 936 893,Holdings
Japan,1949,Area - 0.99 and under 4.96 hectares,5 278 192,hectares
Japan,1959-60,Number of holdings,6 056 534,Holdings
Japan,1959-60,Agricultural area,7 141 941,Hectares
Japan,1959-60,Holdings under 0.99 ha,3 911 695,Holdings
Japan,1959-60,Area under 0.99 ha,2 184 379,Hectares
Japan,1959-60,Holdings 0.99-4.96 ha,2 040 975,Holdings
Japan,1959-60,Area 0.99-4.96 ha,3 812 757,Hectares
Japan,1959-60,Holdings 4.96-9.92 ha,67 659,Holdings
Japan,1959-60,Area 4.96-9.92 ha,505 212,Hectares
Japan,1959-60,Holdings 9.92-19.83 ha,29 645,Holdings
Japan,1959-60,Area 9.92-19.83 ha,427 609,Hectares
Japan,1959-60,Holdings 19.83 ha and over,6 560,Holdings
Japan,1959-60,Area 19.83 ha and over,211 984,Hectares
