Country,Year,Indicator,Value,Unit
Japan,1929,Cropland - Arable land,2 823 162,acres
Japan,1929,Land under permanent crops,2 983 010,acres
Japan,1929,Permanent meadows and pastures,3 068 899,acres
Japan,1929,Number of holdings reporting,5 575 583,acres
Japan,1929,Wood or forest land,47 893 830,acres
Japan,1949,Land Utilization - Cropland,5 048 496,hectares
Japan,1949,Land Utilization - Land under permanent crops,284 127,ha
Japan,1949,Land Utilization - Permanent meadows and pastures,544 041,ha
Japan,1949,Land Utilization - Grassland,284 127,ha
Japan,1949,Land Utilization - Forest land used for moving or grazing,231 888,ha
Japan,1959-60,Land Utilization - Cropland, Arable land,5 679 418,ha
Japan,1959-60,Land Utilization - Land under permanent crops,366 822,ha
Japan,1959-60,Land Utilization - Grassland,401 274,ha
Japan,1959-60,Land Utilization - Forest land used for moving or grazing,231 888,ha
