Country,Year,Indicator,Value,Unit
Latvia,1930,Holdings from 1 to 2 ha - Number,12 141,Number
Latvia,1930,Holdings from 1 to 2 ha - Area,30 278,acres
Latvia,1930,Holdings from 2.01 to 5 ha - Number,23 641,Number
Latvia,1930,Holdings from 2.01 to 5 ha - Area,156 496,acres
Latvia,1930,Holdings from 5.01 to 10 ha - Number,48 807,Number
Latvia,1930,Holdings from 5.01 to 10 ha - Area,956 299,acres
Latvia,1930,Holdings from 10.01 to 20 ha - Number,36 070,Number
Latvia,1930,Holdings from 10.01 to 20 ha - Area,1 314 815,acres
Latvia,1930,Holdings from 20.01 to 50 ha - Number,35 960,Number
Latvia,1930,Holdings from 20.01 to 50 ha - Area,3 074 815,acres
Latvia,1930,Holdings from 50.01 to 100 ha - Number,13 462,Number
Latvia,1930,Holdings from 50.01 to 100 ha - Area,1 915 551,acres
Latvia,1930,Holdings above 100 ha - Number,4 184,Number
Latvia,1930,Holdings above 100 ha - Area,299 635,acres
