Country,Year,Indicator,Value,Unit
Mozambique,1930,Total area of Lourenço Marques,19 646 000,acres
Mozambique,1930,Area run by Europeans in Lourenço Marques,681 235,acres
Mozambique,1930,Total area of Inhambane,13 497 500,acres
Mozambique,1930,Area run by Europeans in Inhambane,656 463,acres
Mozambique,1930,Total area of Tete,31 060 500,acres
Mozambique,1930,Area run by Europeans in Tete,15 229,acres
Mozambique,1930,Total area of Quelimane,31 060 500,acres
Mozambique,1930,Area run by Europeans in Quelimane,1 063 096,acres
Mozambique,1930,Total area of Mozambique district,19 279 800,acres
Mozambique,1930,Area run by Europeans in Mozambique district,503 093,acres
Mozambique,1930,Total area of Cabo Delgado,26 279 893,acres
Mozambique,1930,Area run by Europeans in Cabo Delgado,482 332,acres
Mozambique,1930,Total area of Niassa,19 279 800,acres
Mozambique,1930,Area run by Europeans in Niassa,408 623,acres
Mozambique,1930,Total area of territories administered directly by the Government,137 940 593,acres
Mozambique,1930,Area run by Europeans in government-administered territories,3 760 975,acres
Mozambique,1930,Total area of Manica and Sofala,33 213 406,acres
Mozambique,1930,Area run by Europeans in Manica and Sofala,1 019 275,acres
Mozambique,1930,Total area of the whole Colony,190 553 900,acres
Mozambique,1930,Area run by Europeans in the whole Colony,4 780 075,acres
