Country,Year,Indicator,Value,Unit
Netherlands,1930,Number of holdings (0.05 ha and under 1 ha),137 750,Number
Netherlands,1930,Area (0.05 ha and under 1 ha),104 386,ha
Netherlands,1930,Average area (0.05 ha and under 1 ha),0.70,ha
Netherlands,1930,Number of holdings (1 ha to 5 ha),110 646,Number
Netherlands,1930,Area (1 ha to 5 ha),675 944,ha
Netherlands,1930,Average area (1 ha to 5 ha),6.10,ha
Netherlands,1930,Number of holdings (5 ha to 10 ha),55 500,Number
Netherlands,1930,Area (5 ha to 10 ha),956 243,ha
Netherlands,1930,Average area (5 ha to 10 ha),17.20,ha
Netherlands,1930,Number of holdings (10 ha to 20 ha),41 256,Number
Netherlands,1930,Area (10 ha to 20 ha),1 400 461,ha
Netherlands,1930,Average area (10 ha to 20 ha),33.90,ha
Netherlands,1930,Number of holdings (20 ha to 50 ha),24 092,Number
Netherlands,1930,Area (20 ha to 50 ha),1 320 647,ha
Netherlands,1930,Average area (20 ha to 50 ha),35.40,ha
Netherlands,1930,Number of holdings (50 ha to 100 ha),2 456,Number
Netherlands,1930,Area (50 ha to 100 ha),374 760,ha
Netherlands,1930,Average area (50 ha to 100 ha),152.60,ha
Netherlands,1950,Total number of holdings (1950 - I),1 409 798,Holdings
Netherlands,1950,Total area of holdings (1950 - I),2 335 268,Hectares
Netherlands,1950,Total number of holdings (1950 - II),282 119,Holdings
Netherlands,1950,Total area of holdings (1950 - II),2 314 242,Hectares
Netherlands,1959-60,Number of holdings,300 702,Number
Netherlands,1959-60,Area (gross),2 658 297,hectares
