Country,Year,Indicator,Value,Unit
Norway,1932,Holdings fully owned - Number of holdings,255 648,Number
Norway,1932,Holdings fully owned - Area of holdings,4 230 262,acres
Norway,1932,Holdings rented from others - Number of holdings,42 712,Number
Norway,1932,Holdings rented from others - Area of holdings,4 230 262,acres
Norway,1932,Holdings not owned - Number of holdings,42 712,Number
Norway,1932,Holdings not owned - Area of holdings,4 230 262,acres
Norway,1948-49,Holdings fully owned,194 841,Number
Norway,1948-49,Holdings rented from others,15 033,Number
Norway,1948-49,Holdings operated under mixed forms of tenure,3 567,Number
Norway,1948-49,Holdings not owned,18 600,Number
Norway,1959,Number of holdings fully owned,172 152,Number
Norway,1959,Number of holdings rented from others,13 480,Number
Norway,1959,Number of holdings operated under mixed forms of tenure,12 683,Number
Norway,1959,Number of holdings not owned,26 163,Number
