Country,Year,Indicator,Value,Unit
Norway,1932,Arable land and permanent meadow,2 462 239,acres
Norway,1932,Meadow outside rotation,1 708 023,acres
Norway,1932,Forests,18 519 132,acres
Norway,1932,Other land,53 752 901,acres
Norway,1932,Total area of Norway,76 922 979,acres
Norway,1948-49,Land Utilization - Cropland,756 579,Holdings
Norway,1948-49,Land Utilization - Cropland,739 435,Hectares
Norway,1948-49,Land Utilization - Permanent meadow and pasture,288 984,Holdings
Norway,1948-49,Land Utilization - Permanent meadow and pasture,286 920,Hectares
Norway,1948-49,Land Utilization - Wood or forest land,3 604 289,Hectares
Norway,1959,Land Utilization - Cropland,854 329,ha
Norway,1959,Land Utilization - Permanent meadows and pastures,175 637,ha
Norway,1959,Land Utilization - Wood or forest land,2 659 904,ha
Norway,1959,Land Utilization - All other land,2 932 674,ha
Norway,1959,Cultivated Pasture,506 652,ha
Norway,1959,Land under permanent crops,3 181 217,ha
Norway,1959,Number of holdings reporting,433 920,
Norway,1959,Total agricultural land,7 622 744,ha
