Country,Year,Indicator,Value,Unit
Philippines,1947-48,Land Utilization - Cropland,4 552 937,hectares
Philippines,1947-48,Land Utilization - Permanent meadow and pasture,467 145,hectares
Philippines,1947-48,Land Utilization - Wood or forest land,507 985,hectares
Philippines,1947-48,Land Utilization - Other land,198 517,Hectares
Philippines,1959-60,Land Utilization - Arable land (area total),4 900 572,hectares
Philippines,1959-60,Land Utilization - Temporary crops,3 784 619,hectares
Philippines,1959-60,Land Utilization - Temporarily fallow,1 115 953,hectares
Philippines,1959-60,Land Utilization - Land under permanent crops,1 795 606,hectares
Philippines,1959-60,Land Utilization - Land under permanent pastures,380 024,hectares
Philippines,1959-60,Land Utilization - Wood or forest land,581 712,hectares
Philippines,1959-60,Land Utilization - All other land,114 571,hectares

