Country,Year,Indicator,Value,Unit
Puerto Rico,1930,Total area in farms,1 979 474,acres
Puerto Rico,1930,Approximate total area,2 198 400,acres
Puerto Rico,1930,Improved land,1 222 284,acres
Puerto Rico,1930,Woodland,322 447,acres
Puerto Rico,1930,Other unimproved land,434 743,acres
Puerto Rico,1930,Land not in farms,210 926,acres
Puerto Rico,1950,Cropland,302 182,Hectares
Puerto Rico,1950,Permanent meadow and pasture,312 401,Hectares
Puerto Rico,1950,Wood or forest land,71 592,Hectares
Puerto Rico,1950,All other land,38 911,Hectares
Puerto Rico,1959,Cropland,284 614,hectares
Puerto Rico,1959,Permanent meadows and pastures,284 249,hectares
Puerto Rico,1959,Wood or forest land,62 291,hectares
Puerto Rico,1959,All other land,30 090,hectares
