Country,Year,Indicator,Value,Unit
Seychelles,1959-61,Arable land,1 004,ha
Seychelles,1959-61,Land under permanent crops,12 254,ha
Seychelles,1959-61,Wood or forest land,4 494,ha
Seychelles,1959-61,All other land,7 686,ha
Seychelles,1947-48,Cropland,16 900,ha
Seychelles,1947-48,Arable land,300,ha
Seychelles,1947-48,Land under permanent crops,16 600,ha
Seychelles,1947-48,Permanent meadows and pastures,400,ha
Seychelles,1947-48,Wood or forest land,3 800,ha
Seychelles,1947-48,All other land,19 300,ha
