Country,Year,Indicator,Value,Unit
Spain,1962,Organic fertilizers - Holdings,1 810 862,Number of holdings
Spain,1962,Organic fertilizers - Area,2 507 221,Hectares
Spain,1962,Organic fertilizers - Amount,8 882 330,Metric tons
Spain,1962,Green manure - Holdings,35 524,Number of holdings
Spain,1962,Green manure - Area,30 724,Hectares
Spain,1962,Green manure - Amount,59 366,Metric tons
Spain,1962,Inorganic fertilizers - Holdings,1 662 383,Number of holdings
Spain,1962,Nitrogenous fertilizers - Sodium and calcium nitrate - Holdings,440 673,Number of holdings
Spain,1962,Nitrogenous fertilizers - Sodium and calcium nitrate - Area,1 782 127,Hectares
Spain,1962,Nitrogenous fertilizers - Sodium and calcium nitrate - Amount,402 330,Metric tons
Spain,1962,Nitrogenous fertilizers - Ammonium sulphate - Holdings,680 723,Number of holdings
Spain,1962,Nitrogenous fertilizers - Ammonium sulphate - Area,2 525 538,Hectares
Spain,1962,Nitrogenous fertilizers - Ammonium sulphate - Amount,691 541,Metric tons
Spain,1962,Nitrogenous fertilizers - Ammonium sulphate nitrate - Holdings,145 623,Number of holdings
Spain,1962,Nitrogenous fertilizers - Ammonium sulphate nitrate - Area,623 457,Hectares
Spain,1962,Nitrogenous fertilizers - Ammonium sulphate nitrate - Amount,139 371,Metric tons
Spain,1962,Nitrogenous fertilizers - Calcium ammonium nitrate - Holdings,135 164,Number of holdings
Spain,1962,Nitrogenous fertilizers - Calcium ammonium nitrate - Area,642 337,Hectares
Spain,1962,Nitrogenous fertilizers - Calcium ammonium nitrate - Amount,122 816,Metric tons
Spain,1962,Phosphate fertilizers - Calcium superphosphate - Holdings,792 036,Number of holdings
Spain,1962,Phosphate fertilizers - Calcium superphosphate - Area,3 672 124,Hectares
Spain,1962,Phosphate fertilizers - Calcium superphosphate - Amount,1 129 335,Metric tons
Spain,1962,Phosphate fertilizers - Basic slag - Holdings,36 340,Number of holdings
Spain,1962,Phosphate fertilizers - Basic slag - Area,91 818,Hectares
Spain,1962,Phosphate fertilizers - Basic slag - Amount,35 857,Metric tons
Spain,1962,Potash fertilizers - Holdings,122 370,Number of holdings
Spain,1962,Potash fertilizers - Area,780 559,Hectares
Spain,1962,Potash fertilizers - Amount,131 307,Metric tons
Spain,1962,Mixed inorganic fertilizers - Holdings,348 579,Number of holdings
Spain,1962,Mixed inorganic fertilizers - Area,1 375 269,Hectares
Spain,1962,Mixed inorganic fertilizers - Amount,601 270,Metric tons
Spain,1962,Soil dressings - Lime - Holdings,10 983,Number of holdings
Spain,1962,Soil dressings - Lime - Area,26 124,Hectares
Spain,1962,Soil dressings - Lime - Amount,30 377,Metric tons
