Country,Year,Indicator,Value,Unit
United Arab Republic,1960-61,Holdings fully owned - Number,623 170,Number
United Arab Republic,1960-61,Holdings fully owned - Area,1 119 333,ha
United Arab Republic,1950,Holdings fully owned - Number,658 026,Number
United Arab Republic,1950,Holdings fully owned - Area,1 563 090,ha
United Arab Republic,1960-61,Holdings rented from others - Number,523 826,Number
United Arab Republic,1960-61,Holdings rented from others - Area,509 950,ha
United Arab Republic,1950,Holdings rented from others - Number,206 751,Number
United Arab Republic,1950,Holdings rented from others - Area,513 745,ha
United Arab Republic,1960-61,Holdings operated under mixed forms of tenure - Number,495 164,Number
United Arab Republic,1960-61,Holdings operated under mixed forms of tenure - Area,984 828,ha
United Arab Republic,1950,Holdings operated under mixed forms of tenure - Number,138 246,Number
United Arab Republic,1950,Holdings operated under mixed forms of tenure - Area,504 659,ha
