Country,Year,Indicator,Value,Unit
Uruguay,1929,Arable land,2 838 677,acres
Uruguay,1929,Land under permanent crops,122 039,acres
Uruguay,1929,Total agricultural land,2 960 716,acres
Uruguay,1929,Unproductive lands,296 071.60,acres
Uruguay,1950-51,Land Utilization - Cropland,2 041 523,hectares
Uruguay,1950-51,Land Utilization - Arable land,1 986 005,hectares
Uruguay,1950-51,"Land Utilization - Land for growing trees, vines and shrubs",386,hectares
Uruguay,1950-51,Land Utilization - Permanent meadows and pastures,13 966 739,hectares
Uruguay,1950-51,Land Utilization - Wood or forest land,485 737,hectares
Uruguay,1950-51,Land Utilization - All other land,479 633,hectares
Uruguay,1950-51,Total Area in Holdings,16 973 632,hectares
Uruguay,1961,"Land Utilization - Cropland, Arable land",2 194 890,hectares
Uruguay,1961,Land under permanent crops,26 819,hectares
Uruguay,1961,Permanent meadows and pastures,13 847 317,hectares
Uruguay,1961,Cultivated Pasture (Artificial pastures),609 638,hectares
Uruguay,1961,Wood or forest land,592 638,hectares
Uruguay,1961,All other land,296 744,hectares
