Country,Year,Indicator,Value,Unit
Venezuela,1961,Arable land (area),4 562 510,hectares
Venezuela,1961,Temporary crops (area),1 017 448,hectares
Venezuela,1961,Temporary (cultivated) meadows (area),2 760 608,hectares
Venezuela,1961,Temporarily fallow (area),784 454,hectares
Venezuela,1961,Land under permanent crops (area),651 903,hectares
Venezuela,1961,Permanent (uncultivated) pastures (area),13 846 989,hectares
Venezuela,1961,Wood or forest land (area),4 363 617,hectares
Venezuela,1961,All other land (area),2 579 843,hectares
Venezuela,1961,Arable land (number of holdings),244 275,Number of holdings
Venezuela,1961,Temporary crops (number of holdings),51 975,Number of holdings
Venezuela,1961,Temporary (cultivated) meadows (number of holdings),109 202,Number of holdings
Venezuela,1961,Temporarily fallow (number of holdings),72 292,Number of holdings
Venezuela,1961,Land under permanent crops (number of holdings),170 428,Number of holdings
Venezuela,1961,Permanent (uncultivated) pastures (number of holdings),45 332,Number of holdings
Venezuela,1961,Wood or forest land (number of holdings),101 104,Number of holdings
Venezuela,1961,All other land (number of holdings),45 332,Number of holdings
