Country,Year,Indicator,Value,Unit

Virgin Islands,1930,Land Utilization - Crop land harvested,6 895,acres
Virgin Islands,1930,Land Utilization - Woodland,20 745,hectares
Virgin Islands,1930,Land Utilization - Other land in farms,40 682,hectares
Virgin Islands,1950,Land Utilization - Cropland,6 662,hectares
Virgin Islands,1950,Land Utilization - Permanent meadows and pastures,8 517,hectares
Virgin Islands,1950,Land Utilization - Wood and forest land,9 344,hectares
Virgin Islands,1950,Land Utilization - All aother land,1 277,hectares
Virgin Islands,1950,Land Utilization - Cropland,666,hectares
Virgin Islands,1959-60,Land Utilization - Cropland,4 574,hectares
Virgin Islands,1959-60,Land Utilization - Permanent meadows and pastures,6 867,hectares
Virgin Islands,1959-60,Land Utilization - Wood and forest land,5 078,hectares
Virgin Islands,1959-60,Land Utilization - All aother land,1 312,hectares
