Country,Year,Indicator,Value,Unit
Yugoslavia,1951,Arable land,6 444 750,hectares
Yugoslavia,1951,Land for growing trees, vines and shrubs,555 366,hectares
Yugoslavia,1951,Permanent meadow and pasture,3 114 843,hectares
Yugoslavia,1951,Wood or forest land,2 579 911,hectares
Yugoslavia,1951,All other land,758 787,hectares
Yugoslavia,1959-60,Arable land,6 075 718,hectares
Yugoslavia,1959-60,Land for growing trees, vines and shrubs,533 531,hectares
Yugoslavia,1959-60,Permanent meadow and pasture,3 071 349,hectares
Yugoslavia,1959-60,Wood or forest land,2 143 813,hectares
Yugoslavia,1959-60,All other land,629 011,hectares
