Country,Year,Indicator,Value,Unit
Alaska,1930,Holdings fully owned - Number of holdings,530,number
Alaska,1930,Holdings fully owned - Area (total),62 626,acres
Alaska,1930,Holdings rented from others - Number of holdings,131,number
Alaska,1930,Holdings rented from others - Area (total),205 843,acres
Alaska,1930,Holdings not owned - Number of holdings,161,number
Alaska,1930,Holdings not owned - Area (total),362 297,acres
Alaska,1949-50,Number of Holdings - Owned by holder,445,Number
Alaska,1949-50,Area of Holdings - Owned by holder,"21 491",Hectares
Alaska,1949-50,Number of Holdings - Rented from others,20,Number
Alaska,1949-50,Area of Holdings - Rented from others,"81 801",Hectares
Alaska,1949-50,Number of Holdings - Mixed forms,150,Number
Alaska,1949-50,Area of Holdings - Mixed forms,"3 806",Hectares
Alaska,1949-50,Number of Holdings - Operated by managers,10,Number
Alaska,1949-50,Area of Holdings - Operated by managers,"63 596",Hectares
