Country,Year,Indicator,Value,Unit
American Samoa,1959-60,Number of holdings,2 135,
American Samoa,1959-60,Area of holdings,4 662,hectares
American Samoa,1959-60,Number of holdings under 1.2 ha,853,
American Samoa,1959-60,Area of holdings under 1.2 ha,561,hectares
American Samoa,1959-60,Number of holdings 1.2 and under 4.0 ha,1 042,
American Samoa,1959-60,Area of holdings 1.2 and under 4.0 ha,2 030,hectares
American Samoa,1959-60,Number of holdings 4.0 and under 8.1 ha,174,
American Samoa,1959-60,Area of holdings 4.0 and under 8.1 ha,862,hectares
American Samoa,1959-60,Number of holdings 8.1 and under 20.2 ha,51,
American Samoa,1959-60,Area of holdings 8.1 and under 20.2 ha,554,hectares
American Samoa,1959-60,Number of holdings 20.2 and under 40.5 ha,8,
American Samoa,1959-60,Area of holdings 20.2 and under 40.5 ha,186,hectares
American Samoa,1959-60,Number of holdings 40.5 ha and over,6,
American Samoa,1959-60,Area of holdings 40.5 ha and over,469,hectares
