Country,Year,Indicator,Value,Unit
American Samoa,1949-50,Holdings fully owned - Number,4 195,Number
American Samoa,1949-50,Holdings fully owned - Area (hectares),1 806,Hectares
American Samoa,1959-60,Number of holdings fully owned,1 711,Number
American Samoa,1959-60,Area of holdings fully owned,3 909,Hectares
American Samoa,1959-60,Number of holdings rented from others,316,Number
American Samoa,1959-60,Area of holdings rented from others,449,Hectares
American Samoa,1959-60,Number of holdings operated under mixed tenure,108,Number
American Samoa,1959-60,Area of holdings operated under mixed tenure,304,Hectares
American Samoa,1959-60,Number of holdings not owned,424,Number
American Samoa,1959-60,Area of holdings not owned,753,Hectares

