Country,Year,Indicator,Value,Unit
Austria,1930,Number of holdings under 2 hectares,110 783,holdings
Austria,1930,Area of holdings under 2 hectares,252 592,acres
Austria,1930,Number of holdings 2 hectares and under 5,90 034,holdings
Austria,1930,Area of holdings 2 hectares and under 5,481 406,acres
Austria,1930,Number of holdings 5 hectares and under 10,36 004,holdings
Austria,1930,Area of holdings 5 hectares and under 10,1 061 960,acres
Austria,1930,Number of holdings 10 hectares and under 20,19 436,holdings
Austria,1930,Area of holdings 10 hectares and under 20,1 364 807,acres
Austria,1930,Number of holdings 20 hectares and under 50,12 743,holdings
Austria,1930,Area of holdings 20 hectares and under 50,2 400 461,acres
Austria,1930,Number of holdings 50 hectares and under 100,8 290,holdings
Austria,1930,Area of holdings 50 hectares and under 100,393 653,acres
Austria,1930,Number of holdings 100 hectares and under 200,3 794,holdings
Austria,1930,Area of holdings 100 hectares and under 200,619 223,acres
Austria,1930,Number of holdings 200 hectares and under 500,3 728,holdings
Austria,1930,Area of holdings 200 hectares and under 500,200 354,acres
Austria,1930,Number of holdings 500 hectares and under 1000,156,holdings
Austria,1930,Area of holdings 500 hectares and under 1000,453 172,acres
Austria,1930,Number of holdings 1000 hectares and over,162,holdings
Austria,1930,Area of holdings 1000 hectares and over,299 585,acres
Austria,1930,Total number of holdings,433 560,holdings
Austria,1930,Total area of holdings,10 850 627,acres
