Country,Year,Indicator,Value,Unit
Austria,1930,Threshers,1 225,Units
Austria,1951,Threshers with cleaner and loader - Number of holdings reporting,102 106,Number
Austria,1951,Threshers with cleaner and loader - Number of threshers,102 659,Number
Austria,1951,Threshers with cleaner and loader - Owned,37 203,Number
Austria,1951,"Threshers with cleaner and loader - Used co-operatively, rented or borrowed",65 456,Number
Austria,1951,Threshers without cleaner and loader - Number of holdings reporting,83 864,Number
Austria,1951,Threshers without cleaner and loader - Number of threshers,84 156,Number
Austria,1951,Threshers without cleaner and loader - Owned,84 156,Number
Austria,1951,"Threshers without cleaner and loader - Used co-operatively, rented or borrowed",-,Number
Austria,1951,Number of Threshers,37 203,Number
Austria,1960,Number of holdings reporting Threshers,53 713,Number
Austria,1960,Number of Threshers,53 838,Number
