Country,Year,Indicator,Value,Unit
Belgium,1929,Total phosphatic fertilizers,1 485 240,1 000 lb
Belgium,1929,Total nitrogenous fertilizers,690 163,1 000 lb
Belgium,1929,Total potassic fertilizers,321 999,1 000 lb
Belgium,1929,Total phosphatic fertilizers,1 485 240,1 000 lb
Belgium,1950,Green manure (hectares),12 259,hectares
Belgium,1959,Organic fertilizers - Number of holdings reporting,249 029,Number
Belgium,1959,Mixed fertilizers - Number of holdings reporting,798,Number
Belgium,1959,Nitrogenous fertilizers - Number of holdings reporting,402 078,Number
Belgium,1959,Nitrogenous fertilizers - Amount applied,522 966,Metric tons
Belgium,1959,Potash fertilizers - Number of holdings reporting,345 792,Number
Belgium,1959,Potash fertilizers - Amount applied,269 748,Metric tons
