Country,Year,Indicator,Value,Unit
Brunei,1950,Rice - Area (total),3 217,Hectares
Brunei,1950,Rice - Production,4 140,Metric tons
Brunei,1964,Rice (total) - Number of holdings reporting,3 378,Holdings
Brunei,1964,Rice (total) - Area (total),3 243,Hectares
Brunei,1964,Rice (total) - Production,2 503,Metric tons
Brunei,1964,Wet rice - Number of holdings reporting,2 325,Holdings
Brunei,1964,Wet rice - Area (total),2 059,Hectares
Brunei,1964,Wet rice - Production,1 692,Metric tons
Brunei,1964,Dry rice - Number of holdings reporting,1 544,Holdings
Brunei,1964,Dry rice - Area (total),1 178,Hectares
Brunei,1964,Dry rice - Production,803,Metric tons
