Country,Year,Indicator,Value,Unit
Denmark,1929,Arable land,6 629 034,acres
Denmark,1929,Permanent meadow and pasture,1 368 016,acres
Denmark,1929,Other land (cultivated),3,acres
Denmark,1929,Forests and plantations,985 719,acres
Denmark,1929,Plantations for shelter,33 104,acres
Denmark,1929,Heaths,243 147,acres
Denmark,1929,Moors and heaths,140 857,acres
Denmark,1929,All other land,2 827 537,acres
Denmark,1949-50,Cropland,2 689 869,Hectares
Denmark,1949-50,Arable land,2 673 670,Hectares
Denmark,1949-50,Permanent meadow and pasture,477 776,Hectares
Denmark,1949-50,Wood or forest land,167 935,Hectares
Denmark,1949-50,All other land,262 342,Hectares
Denmark,1959-60,Arble land,2 743 721,hectares
Denmark,1959-60,Land unter permanet meadows and pastures,364 546,hectares
