Country,Year,Indicator,Value,Unit
Finland,1950,Employment in Agriculture - All persons,883 224,Number
Finland,1950,Holders and unpaid members of their households - Total,807 783,Number
Finland,1950,Holders and unpaid members of their households - Male (15 years and over),386 517,Number
Finland,1950,Holders and unpaid members of their households - Female (15 years and over),375 755,Number
Finland,1950,Holders and unpaid members of their households - Total (15 years and over),762 272,Number
Finland,1950,Holders and unpaid members of their households - Total (14 years and under),45 511,Number
Finland,1950,Persons working for pay on the holding - Total,75 441,Number
Finland,1950,Persons working for pay on the holding - Male (15 years and over),39 713,Number
Finland,1950,Persons working for pay on the holding - Female (15 years and over),34 095,Number
Finland,1950,Persons working for pay on the holding - Total (15 years and over),73 808,Number
Finland,1950,Persons working for pay on the holding - Total (14 years and under),1 633,Number
