Country,Year,Indicator,Value,Unit
France,1930,Number of holdings under 1 ha.,1 014 731,holdings
France,1930,Area of holdings under 1 ha.,1 275 548,ha
France,1930,Number of holdings 1 ha. and under 3 ha.,1 146 333,holdings
France,1930,Area of holdings 1 ha. and under 3 ha.,2 346 100,ha
France,1930,Number of holdings 3 ha. and under 10 ha.,313 912,holdings
France,1930,Area of holdings 3 ha. and under 10 ha.,11 280 159,ha
France,1930,Number of holdings 10 ha. and under 50 ha.,393 147,holdings
France,1930,Area of holdings 10 ha. and under 50 ha.,18 301 314,ha
France,1930,Number of holdings 50 ha. and under 100 ha.,366 375,holdings
France,1930,Area of holdings 50 ha. and under 100 ha.,19 331 402,ha
France,1930,Number of holdings 100 ha. and under 200 ha.,450,holdings
France,1930,Area of holdings 100 ha. and under 200 ha.,10 479 123,ha
France,1930,Number of holdings 200 ha. and under 500 ha.,2 025,holdings
France,1930,Area of holdings 200 ha. and under 500 ha.,2 029 214,ha
France,1930,Number of holdings 500 ha. and over,1 163,holdings
France,1930,Area of holdings 500 ha. and over,755 524,ha
France,1930,Total number of holdings,1 966 330,holdings
France,1930,Total area of holdings,114 177 963,ha
