Country,Year,Indicator,Value,Unit
Germany,1949-50,Number of holdings fully owned,840 514,Number
Germany,1949-50,Area of holdings fully owned (hectares),13 788 896,Hectares
Germany,1949-50,Number of holdings rented from others,108 744,Number
Germany,1949-50,Area of holdings rented from others (hectares),881 415,Hectares
Germany,1949-50,Number of holdings operated under mixed forms of tenure,978 883,Number
Germany,1949-50,Area of holdings operated under mixed forms of tenure (hectares),7 231 427,Hectares
Germany,1949-50,Number of holdings not owned,1 171 478,Number
Germany,1949-50,Area of holdings not owned (hectares),2 737 376,Hectares
Germany,1960,Holdings fully owned (Owned by the holder or in owner-like possession) - Number,727 559,Number
Germany,1960,Holdings fully owned (Owned by the holder or in owner-like possession) - Area,7 097 182,Hectares
Germany,1960,Holdings rented from others - Number,85 844,Number
Germany,1960,Holdings rented from others - Area,1 118 940,Hectares
Germany,1960,Holdings operated under mixed forms of tenure (owned-rented only) - Number,535 256,Number
Germany,1960,Holdings operated under mixed forms of tenure (owned-rented only) - Area,4 682 928,Hectares
Germany,1960,Holdings not owned - Number,33 394,Number
Germany,1960,Holdings not owned - Area,4 790 375,Hectares
