Country,Year,Indicator,Value,Unit
Guam,1930,Poultry - Number of poultry,155 309,number
Guam,1930,Poultry - Number of holdings reporting,2 672,number
Guam,1949-50,Chickens - Number of holdings reporting,2 164,Holdings
Guam,1949-50,Chickens - Total number of chickens,132 781,Number
Guam,1949-50,Ducks - Number of holdings reporting,41,Holdings
Guam,1949-50,Ducks - Total number of ducks,399,Number
Guam,1949-50,Other poultry - Number of holdings reporting,15,Holdings
Guam,1949-50,Other poultry - Total number of other poultry,529,Number
Guam,1961,Poultry - Number of holdings reporting,1 879,holdings
Guam,1961,Poultry - Number of poultry,137 071,chickens
