Country,Year,Indicator,Value,Unit
Guatemala,1950,Holdings owned by the holder,191 395,Number
Guatemala,1950,Area of holdings owned by the holder,1 735 671,hectares

Guatemala,1950,Holdings rented from other,59 192,Number
Guatemala,1950,Area of holdings rented from other,105 806,hectares

Guatemala,1950,Holdings operated under other forms of tenure,95 588,Number
Guatemala,1950,Area of holdings operated under other forms,637 037,hectares

Guatemala,1950,Holdings operated by manager,2 512,hectares
Guatemala,1950,Area of holdings operated under mixed forms,1 235 621,Number
