Country,Year,Indicator,Value,Unit
Irish Free State,1929,Number of Holdings Not exceeding 1 acre,54 904,Holdings
Irish Free State,1929,Area of Agricultural Land Not exceeding 1 acre,36 481,acres
Irish Free State,1929,Total Farm Area Not exceeding 1 acre,36 481,acres
Irish Free State,1929,Number of Holdings Above 1 and not exceeding 2 acres,15 481,Holdings
Irish Free State,1929,Area of Agricultural Land Above 1 and not exceeding 2 acres,26 030,acres
Irish Free State,1929,Total Farm Area Above 1 and not exceeding 2 acres,26 030,acres
Irish Free State,1929,Number of Holdings Above 2 and not exceeding 5 acres,19 330,Holdings
Irish Free State,1929,Area of Agricultural Land Above 2 and not exceeding 5 acres,73 921,acres
Irish Free State,1929,Total Farm Area Above 2 and not exceeding 5 acres,73 921,acres
Irish Free State,1929,Number of Holdings Above 5 and not exceeding 10 acres,37 489,Holdings
Irish Free State,1929,Area of Agricultural Land Above 5 and not exceeding 10 acres,282 929,acres
Irish Free State,1929,Total Farm Area Above 5 and not exceeding 10 acres,282 929,acres
Irish Free State,1929,Number of Holdings Above 10 and not exceeding 15 acres,39 893,Holdings
Irish Free State,1929,Area of Agricultural Land Above 10 and not exceeding 15 acres,474 412,acres
Irish Free State,1929,Total Farm Area Above 10 and not exceeding 15 acres,474 412,acres
Irish Free State,1929,Number of Holdings Above 15 and not exceeding 30 acres,91 807,Holdings
