Country,Year,Indicator,Value,Unit
Italy,1930,Holdings up to 0.01 ha,54 208,Number of Holdings
Italy,1930,Holdings up to 0.01 ha Area,1 384,Acres
Italy,1930,Holdings 0.01–0.10 ha,313 750,Number of Holdings
Italy,1930,Holdings 0.01–0.10 ha Area,13 224,Acres
Italy,1930,Holdings 0.10–0.50 ha,669 899,Number of Holdings
Italy,1930,Holdings 0.10–0.50 ha Area,452 159,Acres
Italy,1930,Holdings 0.50–1 ha,581 859,Number of Holdings
Italy,1930,Holdings 0.50–1 ha Area,1 102 479,Acres
Italy,1930,Holdings 1–2 ha,532 897,Number of Holdings
Italy,1930,Holdings 1–2 ha Area,1 976 467,Acres
Italy,1930,Holdings 2–3 ha,322 520,Number of Holdings
Italy,1930,Holdings 2–3 ha Area,2 504 467,Acres
Italy,1930,Holdings 3–5 ha,223 399,Number of Holdings
Italy,1930,Holdings 3–5 ha Area,3 671 034,Acres
Italy,1930,Holdings 5–10 ha,819 993,Number of Holdings
Italy,1930,Holdings 5–10 ha Area,8 874 791,Acres
Italy,1930,Holdings 10–20 ha,205 367,Number of Holdings
Italy,1930,Holdings 10–20 ha Area,8 687 694,Acres
Italy,1930,Holdings 20–50 ha,86 645,Number of Holdings
Italy,1930,Holdings 20–50 ha Area,8 197 005,Acres
Italy,1930,Holdings 50–100 ha,18 765,Number of Holdings
Italy,1930,Holdings 50–100 ha Area,4 096 619,Acres
Italy,1930,Holdings 100–200 ha,6 295,Number of Holdings
Italy,1930,Holdings 100–200 ha Area,2 435 064,Acres
Italy,1930,Holdings 200–500 ha,1 893,Number of Holdings
Italy,1930,Holdings 200–500 ha Area,3 016 128,Acres
Italy,1930,Holdings 500–1 000 ha,806,Number of Holdings
Italy,1930,Holdings 500–1 000 ha Area,3 455 216,Acres
Italy,1930,Holdings 1 000–2 500 ha,169,Number of Holdings
Italy,1930,Holdings 1 000–2 500 ha Area,3 516 239,Acres
Italy,1930,Holdings over 2 500 ha,30,Number of Holdings
Italy,1930,Holdings over 2 500 ha Area,6 518 399,Acres
