Country,Year,Indicator,Value,Unit
Japan,1929,Cropland - Arable land,6 109 535,acres
Japan,1929,Land under permanent crops,2 983 010,acres
Japan,1929,Permanent meadows and pastures,3 068 899,acres
Japan,1929,Number of holdings reporting,5 575 583,acres
Japan,1929,Forest land,47 893 830,acres
Japan,1949,Land Utilization - Arable land,4 764 369,hectares
Japan,1949,Land Utilization - Land under permanent crops,284 127,ha
Japan,1949,Land Utilization - Permanent meadows and pastures,544 041,ha
Japan,1949,Land Utilization - Grassland,284 127,ha
Japan,1949,Land Utilization - Forest land used for moving or grazing,231 888,ha
Japan,1949, Land Utilization - All other land,471 685,ha
Japan,1959-60,Land Utilization -  Arable land,5 679 418,ha
Japan,1959-60,Land Utilization - Land under permanent crops,366 822,ha
Japan,1959-60,Land Utilization - Grassland,401 274,ha
Japan,1959-60,Land Utilization - Forest land used for moving or grazing,231 888,ha
Japan,1959-60, Land Utilization - All other land,462 539,ha
