Country,Year,Indicator,Value,Unit
Japan,1929,Consumption of National Fertilizers (Company),91 118 541,"1,000 St."
Japan,1929,Consumption of National Fertilizers (Group members),13 911 008,"1,000 St."
Japan,1929,Consumption of National Fertilizers (Human resources),94 245 298,"1,000 St."
Japan,1929,Consumption of National Fertilizers (Others),18 378 761,"1,000 St."
Japan,1929,Consumption of Commercial Fertilizers (Preweed fertilizers),118 305,"1,000 St."
Japan,1929,Consumption of Commercial Fertilizers (Dried fertilizers),25 695,"1,000 St."
Japan,1929,Consumption of Commercial Fertilizers (Fecal waste),166 311,"1,000 St."
Japan,1929,"Consumption of Commercial Fertilizers (Sun-lams, oaks)",2 234 349,"1,000 St."
Japan,1959-60,Application of inorganic fertilizers - Number of holdings reporting, 5 848 884,NUmber of holdings
Japan,1959-60,Nitrogenous fertilizers, 1 588 199,metric tons
Japan,1959-60,Phosphate fertilizers, 1 207 085,metric tons
Japan,1959-60,Potash fertilizers, 497 663,metric tons
Japan,1959-60,Mixed fertilizers, 807 161,metric tons
Japan,1959-60, Other fertilizers, 1 466 978,metric tons
