Country,Year,Indicator,Value,Unit
Kenya European holdings,1930,Woods and forests,141 551,Acres
Kenya European holdings,1930,Other areas,1 201 562,Acres
Kenya European and Asian holdings,1954,Cropland,436 800,Hectares
Kenya European and Asian holdings,1954,Permanent meadows and pastures,1 861 300,Hectares
Kenya European and Asian holdings,1954,Wood or forest land,114 100,Hectares
Kenya European and Asian holdings,1954,All other land,426 100,Hectares
Kenya European and Asian holdings,1960,Arable land,403 836,Hectares
Kenya European and Asian holdings,1960,Land under permanent crops,199 753,Hectares
Kenya European and Asian holdings,1960,Land under permanent crops - Number of holdings reporting,2 315,Number
Kenya European and Asian holdings,1960,Permanent pastures,2 228 647,Hectares
Kenya European and Asian holdings,1960,Permanent pastures - Number of holdings reporting,3 188,Number
Kenya European and Asian holdings,1960,Wood or forest land,114 163,Hectares
Kenya European and Asian holdings,1960,Wood or forest land - Number of holdings reporting,1 892,Number
Kenya European and Asian holdings,1960,All other land,182 148,Hectares
Kenya African holdings,1960,Land Utilization - Arable land,979 080,Hectares
Kenya African holdings,1960,Land under permanent crops,87 492,Hectares
Kenya African holdings,1960,Permanent meadows and pastures,1 114 791,Hectares
Kenya African holdings,1960,Wood or forest land,22 460,Hectares
Kenya African holdings,1960,All other land Number of holdings reporting,186 355,Hectares
