Country,Year,Indicator,Value,Unit
Luxembourg,1950,Employment in Agriculture - Holders and members of their families,40 721,
Luxembourg,1950,"Employment in Agriculture - Holders and members of their families, 15 years of age and over",40 415,
Luxembourg,1950,"Employment in Agriculture - Holders and members of their families, 15 years of age and over, Male",20 633,
Luxembourg,1950,"Employment in Agriculture - Holders and members of their families, 15 years of age and over, Female",19 782,
Luxembourg,1950,"Employment in Agriculture - Holders and members of their families, 14 years of age and under",306,
Luxembourg,1950,"Employment in Agriculture - Holders and members of their families, 14 years of age and under, Male",159,
Luxembourg,1950,"Employment in Agriculture - Holders and members of their families, 14 years of age and under, Female",147,
Luxembourg,1950,Persons working for pay on the holdings,3 211,
Luxembourg,1950,"Persons working for pay on the holdings, 15 years of age and over",3 197,
Luxembourg,1950,"Persons working for pay on the holdings, 15 years of age and over, Male",2 682,
Luxembourg,1950,"Persons working for pay on the holdings, 15 years of age and over, Female",,
