Country,Year,Indicator,Value,Unit
Mauritius,1950,Total area,186 480,hectares
Mauritius,1950,Cropland,81 326,hectares
Mauritius,1950,Arable land,79 772,hectares
Mauritius,1950,"Land for growing trees, vines and shrubs",1 554,hectares
Mauritius,1950,Permanent meadow and pasture,2 331,hectares
Mauritius,1950,Wood and forest land,30 562,hectares
Mauritius,1950,All other land,72 261,hectares
Mauritius,1930,Cultivated land,169 077,Acres
Mauritius,1930,Forests,94 701,Acres
Mauritius,1930,Other land,195 500,Acres
Mauritius,1930,Total area (mainland of Mauritius),455 278,Acres
