Country,Year,Indicator,Value,Unit
Netherlands,1930,Holdings 0.05 and under 1 ha,137 966,Number of Holdings
Netherlands,1930,Holdings 0.05 and under 1 ha Area,104 386,Acres
Netherlands,1930,Holdings 1–5 ha,119 694,Number of Holdings
Netherlands,1930,Holdings 1–5 ha Area,675 744,Acres
Netherlands,1930,Holdings 5–10 ha,61 096,Number of Holdings
Netherlands,1930,Holdings 5–10 ha Area,496 613,Acres
Netherlands,1930,Holdings 10–20 ha,34 162,Number of Holdings
Netherlands,1930,Holdings 10–20 ha Area,474 667,Acres
Netherlands,1930,Holdings 20–50 ha,14 053,Number of Holdings
Netherlands,1930,Holdings 20–50 ha Area,472 540,Acres
Netherlands,1930,Holdings 50–100 ha,4 295,Number of Holdings
Netherlands,1930,Holdings 50–100 ha Area,276 670,Acres
Netherlands,1930,Holdings 100 ha and over,2 815,Number of Holdings
Netherlands,1930,Holdings 100 ha and over Area,813 198,Acres
