Country,Year,Indicator,Value,Unit
Netherlands,1930,Number of holdings fully owned,160 375,Number
Netherlands,1930,Area of holdings fully owned,2 308 218,acres
Netherlands,1930,Number of holdings rented from others,173 700,Number
Netherlands,1930,Area of holdings rented from others,2 605 601,acres
Netherlands,1930,Number of holdings operated under mixed forms of tenure,Not available,Number
Netherlands,1930,Area of holdings operated under mixed forms of tenure,Not available,acres
Netherlands,1930,Number of holdings not owned,173 700,Number
Netherlands,1930,Area of holdings not owned,2 605 601,acres
Netherlands,1950,Area owned by the holder,1 028 927,hectares
Netherlands,1950,Area rented from others,1 306 341,hectares
Netherlands,1959-60,Number of holdings fully owned,107 928,Number
Netherlands,1959-60,Area of holdings fully owned,625 820,ha
Netherlands,1959-60,Number of holdings rented from others,88 407,Number
Netherlands,1959-60,Area of holdings rented from others,779 535,ha
Netherlands,1959-60,Number of holdings under mixed tenure,94 388,Number
Netherlands,1959-60,Area of holdings under mixed tenure,904 457,ha
