Country,Year,Indicator,Value,Unit
Netherlands,1930,Total area of the Kingdom (exclusive of large water surfaces),9 692 691,acres
Netherlands,1930,Area of holdings of not less than 0.05 ha,3 813 859,acres
Netherlands,1930,Area rented for meadow or pasture outside holdings,160 727,acres
Netherlands,1930,Other areas,3,acres
Netherlands,1950,Land Utilization - Cropland,1 050 398,ha
Netherlands,1950,Land Utilization - Arable land,959 498,ha
Netherlands,1950,Land Utilization - Permanent meadows and pasture,1 279 006,ha
Netherlands,1950,Land Utilization - All other land,1 864,ha
Netherlands,1950,Number of holdings reporting,1 409 798,
Netherlands,1950,"Land for Growing trees, vines and shrubs",67 190,ha
Netherlands,1959-60,Land Utilization - Cropland,1 058 267,hectares
Netherlands,1959-60,Land Utilization - Arable land,930 071,hectares
Netherlands,1959-60,Land Utilization - Permanent meadows and pastures,1 274 750,hectares
Netherlands,1959-60,Land Utilization - Wood or forest land,81 458,hectares
Netherlands,1959-60,Land Utilization - Other land,167 520,hectares
Netherlands,1959-60,Land Utilization - Total agricultural land,2 409 319,hectares
Netherlands,1959-60,Number of holdings reporting,290 723,holdings
