Country,Year,Indicator,Value,Unit
Netherlands,1950,Farm Population - All persons,1 405 257,Number
Netherlands,1950,Holders and members of their households - Male,353 534,Number
Netherlands,1950,Holders and members of their households - Female,120 865,Number
Netherlands,1950,Other persons living on the holding - Male,96 145,Number
Netherlands,1950,Other persons living on the holding - Female,4 779,Number
Netherlands,1959-60,Farm population - All persons,1 412 460,Number
Netherlands,1959-60,Farm population - Male,741 711,Number
Netherlands,1959-60,Farm population - Female,670 749,Number
Netherlands,1959-60,Farm population - Mainly depending on agriculture,1 003 818,Number
Netherlands,1959-60,Farm population - Others,408 642,Number
