Country,Year,Indicator,Value,Unit
New Zealand,1929-30,Arable and other cultivated land,1 795 107,acres
New Zealand,1929-30,Sown pasture not cut for seed, hay or ensilage,16 872 948,acres
New Zealand,1929-30,Plantations,280 020,acres
New Zealand,1929-30,All other land,24 411 578,acres
New Zealand,1949-50,Arable land,419 360,hectares
New Zealand,1949-50,Permanent meadow and pasture,12 357 942,hectares
New Zealand,1949-50,Wood and forest land,1 507 577,hectares
New Zealand,1949-50,All other land,2 929 306,hectares
New Zealand,1960,Arable land,456 718,hectares
New Zealand,1960,Land under permanent crops,12 413,hectares
New Zealand,1960,Permanent meadow and pasture,12 781 954,hectares
New Zealand,1960,Wood and forest land,1 479 385,hectares
New Zealand,1960,All other land,3 083 097,hectares
