
Country,Year,Indicator,Value,Unit
New Zealand,1929-30,Superphosphate,1 761 928,acres
New Zealand,1929-30,Superphosphate,416 600,"1,000 lb"
New Zealand,1929-30,Basic slag,68 661,acres
New Zealand,1929-30,Basic slag,113 400,"1,000 lb"
New Zealand,1929-30,Other artificial fertilizers and manures,441 202,acres
New Zealand,1929-30,Other artificial fertilizers and manures,113 400,"1,000 lb"
New Zealand,1929-30,Lime,259 845,acres
New Zealand,1929-30,Lime,210 140,"1,000 lb"
New Zealand,1949-50,Artificial fertilizers,1 519 288,hectares
New Zealand,1949-50,Lime,238 603,hectares
New Zealand,1949-50,Both artificial fertilizers and lime,564 336,hectares
New Zealand,1960,Artificial fertilizers,2 889 507,hectares
New Zealand,1960,Lime,170 738,hectares
New Zealand,1960,Both artificial fertilizers and lime,540 317,hectares
