Country,Year,Indicator,Value,Unit
Norway,1932,Holdings run by owners,255 648,Number of holdings
Norway,1932,Holdings run by tenants,42 712,Number of holdings
Norway,1932,Total holdings,299 360,Number of holdings
Norway,1948-49,Holdings operated under one tenure form - Owned by the holder,194 841,Number
Norway,1948-49,Holdings operated under one tenure form - Rented from others,15 033,Number
Norway,1948-49,Holdings operated under one tenure form - Operated under other forms of tenure,3 567,Number
Norway,1959,Holdings farmed occupied entirely by owners,172 152,Number
Norway,1959,Holdings farmed occupied mainly by owners,10 039,Number
Norway,1959,Holdings farmed occupied entirely by lessees or tenants,13 480,Number
Norway,1959,Holdings farmed occupied mainly by lessees or tenants,2 644,Number
Norway,1959,Holdings farmed occupied entirely in other ways,783,Number
Norway,1959,Holdings farmed occupied mainly in other ways,0,Number
