Country,Year,Indicator,Value,Unit
Peru,1929,Arable land,3 534 621,acres
Peru,1929,Land under permanent crops,62 726,acres
Peru,1929,Permanent meadows and pastures,17 683 503,acres
Peru,1929,Cultivated Pasture,11 777 343,acres
Peru,1929,Total agricultural land,33 078 193,acres
Peru,1929,Unproductive lands,17 866 942,acres
Peru,1929,Area (total),308 651 249,acres
Peru,1961,Arable land - Area (total),2 254 155,hectares
Peru,1961,Land under permanent crops - Area,342 166,hectares
Peru,1961,Permanent meadows and pastures - Area,8 819 461,hectares
Peru,1961,Wood or forest land - Area,1 997 289,hectares
Peru,1961,All other land - Area (total),4 308 973,hectares
