Country,Year,Indicator,Value,Unit
Thailand,1963,Land Utilization - Arable land - Area,8 421 928,Hectares
Thailand,1963,Land Utilization - Arable land - Number of holdings reporting,2 896 351,holdings
Thailand,1963,Land under permanent crops - Area,1 360 249,Hectares
Thailand,1963,Land under permanent crops - Number of holdings reporting,1 419 288,holdings
Thailand,1963,Permanent meadows and pastures- Area,90 169,Hectares
Thailand,1963,Permanent meadows and pastures - Number of holdings reporting,100 076,holdings
Thailand,1963,Wood or forest land - Area,951 725,Hectares
Thailand,1963,Wood or forest land - Number of holdings reporting,556 750,holdings
Thailand,1963,All other land - Area,316 883,Hectares
Thailand,1963,All other land - Number of holdings reporting,2 725 055,holdings

