Country,Year,Indicator,Value,Unit
UK Great Britain,1950,Land Utilization - Arable land,17 699 600,hectares
UK Great Britain,1950,Land Utilization - Wood or forest land,247 500,hectares
UK Great Britain,1950,Land Utilization - All other land,254 800,hectares
UK Great Britain,1960,Land Utilization - Arable land,6 075 718,hectares
UK Great Britain,1960,Land Utilization - Land under permanent crops,533 531,hectares
UK Great Britain,1960,Land Utilization - Permanent meadows and pastures,3 071 349,hectares
UK Great Britain,1960,Land Utilization - Wood or forest land,2 143 831,hectares
UK Great Britain,1960,Land Utilization - All other land,629 011,hectares
UK Great Britain,1960,Number of holdings reporting - Arable land,272 070,holdings
UK Great Britain,1960,Number of holdings reporting - Land under permanent crops,45 460,holdings
UK Great Britain,1960,Number of holdings reporting - Permanent meadows and pastures,343 440,holdings
UK Great Britain,1960,Number of holdings reporting - All other land,255 170,holdings
