Country,Year,Indicator,Value,Unit
United States of America,1929,Land Utilization - Cropland,359 242 091,acres
United States of America,1929,Land Utilization - Land under permanent crops,412 255 890,acres
United States of America,1929,Land Utilization - Cultivated Pasture,109 159 914,acres
United States of America,1929,Land Utilization - Wood or forest land,54 625 025,acres
United States of America,1929,Land Utilization - All other land,46 756 777,acres
United States of America,1929,Land Utilization - Area (total),986 771 016,acres
United States of America,1929,Land Utilization - Total agricultural land,986 771 016,acres
United States of America,1950-51,Cropland,193 371 457,hectares
United States of America,1950-51,Permanent meadow and pasture,168 205 048,hectares
United States of America,1950-51,Number of holdings reporting,5 382 162,holdings
United States of America,1950-51,Wood and forest land,88 954 495,hectares
United States of America,1950-51,All other land,18 317 429,hectares
United States of America,1950-51,Area (total),468 848 429,hectares
United States of America,1961,Cropland,181 331 985,hectares
United States of America,1961,Permanent meadows and pastures,188 671 833,hectares
United States of America,1961,Wood or forest land,66 450 192,hectares
United States of America,1961,Wood or forest land - pastured,37 460 509,hectares
United States of America,1961,Wood or forest land - not pastured,28 989 683,hectares
United States of America,1961,All other land,18 207 015,hectares
